,model_name,similarity
47,w2v_w5_d60.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.011887001550613892}}"
48,w2v_w5_d70.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.011887001550613892}}"
49,w2v_w5_d80.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.010527388596398497}}"
50,w2v_w5_d90.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.010527388596398497}}"
51,w2v_w5_d100.mdl,"{'homer': {'map': 0.014285714285714285, 'ndcg': 0.011123677437207427}}"
52,w2v_w5_d200.mdl,"{'homer': {'map': 0.014285714285714285, 'ndcg': 0.011123677437207427}}"
53,w2v_w5_d300.mdl,"{'homer': {'map': 0.014285714285714285, 'ndcg': 0.011123677437207427}}"
54,w2v_w5_d400.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.016685516155811143}}"
55,w2v_w5_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
56,w2v_w6_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
57,w2v_w6_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
58,w2v_w6_d30.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
59,w2v_w6_d40.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.05263694298199248}}"
60,w2v_w6_d50.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.05263694298199248}}"
61,w2v_w6_d60.mdl,"{'homer': {'map': 0.0365079365079365, 'ndcg': 0.10153481284583953}}"
62,w2v_w6_d70.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.05943500775306946}}"
63,w2v_w6_d80.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.06454838765032837}}"
64,w2v_w6_d90.mdl,"{'homer': {'map': 0.1, 'ndcg': 0.16685516155811142}}"
65,w2v_w6_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
66,w2v_w6_d200.mdl,"{'homer': {'map': 0.025, 'ndcg': 0.01437212133532547}}"
67,w2v_w6_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
68,w2v_w6_d400.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.08342758077905571}}"
69,w2v_w6_d500.mdl,"{'homer': {'map': 0.025, 'ndcg': 0.07186060667662736}}"
70,w2v_w7_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
71,w2v_w7_d20.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.05263694298199248}}"
72,w2v_w7_d30.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.05943500775306946}}"
73,w2v_w7_d40.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
74,w2v_w7_d50.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
75,w2v_w7_d60.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
76,w2v_w7_d70.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
77,w2v_w7_d80.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
78,w2v_w7_d90.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
79,w2v_w7_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
80,w2v_w7_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
81,w2v_w7_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
82,w2v_w7_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
83,w2v_w7_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
