,model_name,similarity
61,w2v_w6_d60.mdl,"{'homer': {'map': 0.1, 'ndcg': 0.20386511607049837}}"
62,w2v_w6_d70.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.06454838765032837}}"
63,w2v_w6_d80.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.05943500775306946}}"
64,w2v_w6_d90.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.04823195829603859}}"
65,w2v_w6_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
66,w2v_w6_d200.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.010045681712070232}}"
67,w2v_w6_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
68,w2v_w6_d400.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.050228408560351163}}"
69,w2v_w6_d500.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.05263694298199248}}"
70,w2v_w7_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
71,w2v_w7_d20.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.08342758077905571}}"
72,w2v_w7_d30.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.06454838765032837}}"
73,w2v_w7_d40.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
74,w2v_w7_d50.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
75,w2v_w7_d60.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
76,w2v_w7_d70.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
77,w2v_w7_d80.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
78,w2v_w7_d90.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
79,w2v_w7_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
80,w2v_w7_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
81,w2v_w7_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
82,w2v_w7_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
83,w2v_w7_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
84,w2v_w8_d10.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.030137045136210697}}"
85,w2v_w8_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
86,w2v_w8_d30.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
87,w2v_w8_d40.mdl,"{'homer': {'map': 0.0325, 'ndcg': 0.0622833346412002}}"
88,w2v_w8_d50.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.021054777192796994}}"
89,w2v_w8_d60.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.016685516155811143}}"
90,w2v_w8_d70.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.016685516155811143}}"
91,w2v_w8_d80.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.016685516155811143}}"
92,w2v_w8_d90.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.021054777192796994}}"
93,w2v_w8_d100.mdl,"{'homer': {'map': 0.07222222222222222, 'ndcg': 0.07128318575314815}}"
94,w2v_w8_d200.mdl,"{'homer': {'map': 0.1, 'ndcg': 0.033371032311622285}}"
95,w2v_w8_d300.mdl,"{'homer': {'map': 0.045, 'ndcg': 0.06260407963136407}}"
96,w2v_w8_d400.mdl,"{'homer': {'map': 0.025, 'ndcg': 0.01437212133532547}}"
97,w2v_w8_d500.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.012909677530065675}}"
98,w2v_w9_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
99,w2v_w9_d20.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.08036545369656185}}"
100,w2v_w9_d30.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.13348412924648914}}"
101,w2v_w9_d40.mdl,"{'homer': {'map': 0.1, 'ndcg': 0.2669682584929783}}"
102,w2v_w9_d50.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
103,w2v_w9_d60.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
104,w2v_w9_d70.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
105,w2v_w9_d80.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
106,w2v_w9_d90.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
107,w2v_w9_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
108,w2v_w9_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
109,w2v_w9_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
110,w2v_w9_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
111,w2v_w9_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
112,w2v_w10_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
113,w2v_w10_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
114,w2v_w10_d30.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
115,w2v_w10_d40.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
116,w2v_w10_d50.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.016685516155811143}}"
117,w2v_w10_d60.mdl,"{'homer': {'map': 0.025, 'ndcg': 0.01437212133532547}}"
118,w2v_w10_d70.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.010045681712070232}}"
119,w2v_w10_d80.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.00964639165920772}}"
120,w2v_w10_d90.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.010045681712070232}}"
121,w2v_w10_d100.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.010045681712070232}}"
122,w2v_w10_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
123,w2v_w10_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
124,w2v_w10_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
125,w2v_w10_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
