,model_name,similarity
61,w2v_w6_d60.mdl,"{'homer': {'map': 0.03888888888888888, 'ndcg': 0.10229813695924599}}"
62,w2v_w6_d70.mdl,"{'homer': {'map': 0.025, 'ndcg': 0.07186060667662736}}"
63,w2v_w6_d80.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.06454838765032837}}"
64,w2v_w6_d90.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.10527388596398496}}"
65,w2v_w6_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
66,w2v_w6_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
67,w2v_w6_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
68,w2v_w6_d400.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.10527388596398496}}"
69,w2v_w6_d500.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.10527388596398496}}"
70,w2v_w7_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
71,w2v_w7_d20.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.050228408560351163}}"
72,w2v_w7_d30.mdl,"{'homer': {'map': 0.014285714285714285, 'ndcg': 0.05561838718603714}}"
73,w2v_w7_d40.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.08342758077905571}}"
74,w2v_w7_d50.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
75,w2v_w7_d60.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
76,w2v_w7_d70.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
77,w2v_w7_d80.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
78,w2v_w7_d90.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
79,w2v_w7_d100.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
80,w2v_w7_d200.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
81,w2v_w7_d300.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
82,w2v_w7_d400.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
83,w2v_w7_d500.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
84,w2v_w8_d10.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
85,w2v_w8_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
86,w2v_w8_d30.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
87,w2v_w8_d40.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
88,w2v_w8_d50.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
89,w2v_w8_d60.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
90,w2v_w8_d70.mdl,"{'homer': {'map': 0.1, 'ndcg': 0.033371032311622285}}"
91,w2v_w8_d80.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.021054777192796994}}"
92,w2v_w8_d90.mdl,"{'homer': {'map': 0.125, 'ndcg': 0.1773825501545099}}"
